City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,cabedelo,-6.9811,-34.8339,22.37,79,71,4.2,BR,1689050307
352,sisimiut,66.9395,-53.6735,9.07,96,100,1.83,GL,1689050601
353,negombo,7.2083,79.8358,29.03,79,75,3.6,LK,1689050601
354,pinas,-3.6667,-79.65,18.81,88,50,1.95,EC,1689050601
355,perugorria,-29.3413,-58.6106,15.56,78,100,4.96,AR,1689050601
356,bathsheba,13.2167,-59.5167,27.34,89,40,7.72,BB,1689050601
357,la sarre,48.8002,-79.1996,15.29,97,19,2.56,CA,1689050601
358,mukalla,14.5425,49.1242,30.96,70,82,1.59,YE,1689050601
359,greymouth,-42.4667,171.2,10.67,77,83,4.08,NZ,1689050365
360,mananjary,-21.2167,48.3333,21.34,84,11,2.94,MG,1689050602
361,barcelos,41.5388,-8.6151,18.8,91,12,1.23,PT,1689050300
362,kiunga,-6.1219,141.2906,27.5,78,98,2.45,PG,1689050353
363,nizhniy ingash,56.2,96.53,25.42,43,81,4.24,RU,1689050602
